Paradigms,JudgingType
"I am a parent judge. I don't have any personal debate nor coaching experience but I have given plenty of speeches to various types of audiences in my career. The fundamentals of your argument is the most important to me. I appreciate clarity and structure in speech so please speak in reasonable speed, and I don't understand debate jargons. Poise is important as I value communications in a civil and educated manner. I appreciate the opportunity to go on an intellectual ride with you and your components, so please speak clearly, be civil, and most importantly show me your ability to think critically. ",1
"Hi! I did PF for 4 years in high school. I graduated from high school in 2017 and I do parli now at Harvard. Notes - I haven't prepped the topic. Please explain things - I try to only vote off of offense that's in final focus and summary. This is to encourage you to collapse on arguments and weigh - I don't care if you have a card for something if you can explain why it's logically true - I love warrants. Please don't justify something by just saying its ""empirically true"" - I'm rarely receptive to progressive arguments (Ks/theory) unless there's a real instance of abuse in the round - I don't flow cross ",2
"I debated PF at Stuyvesant High School for 4 years and now do APDA at Harvard. Update for Harvard Tournament: i am old now. please do not speak fast because i truly will not be able to follow it. please disregard everything below. a slow, logical, and captivating speech delivery will surely convince me.  Speech-docs & questions about the decision should be emailed to: jeremylee@college.harvard.edu. If you are going to read an argument about a sensitive topic, please include a content warning. Give a phone number for participants to anonymously report any concerns, and if there are any, you must have an alternative case ready to read. TLDR: Treat me like a lay judge. I will evaluate rounds with a technical standard, but I dislike fast, blippy ""tech"" debate. As tech as I try to be, your persuasive ability will inevitably skew me one way or another, so please don't throw away presentational skills for the sake of spewing jargon. Every argument needs a clearly-explained warrant for me to consider it. I will vote for the team with the least mitigated link to the greatest impact. Technicalities - Cross will not impact my evaluation of the round. Use it for your own benefit to clarify arguments. - First summary doesn't need defense. - I care little about numbers and number comparisons in weighing. Most of the time, impact quantifications in PF are over exaggerated because impacts that happen on margins are extremely difficult if not impossible to quantify. - Weigh turns & disads (If you don't, I won't know whether to evaluate your response or your opponents' case first. This means I can still vote for a team with a dropped turn on their flow.) - Compare your weighing to your opponents. If this is not done, know that I weigh primarily on the link level because I think it is the key factor in determining the marginality of your impact (or if it happens at all). If you don’t want an unexpected decision, do the weighing yourself. Side-note: Link ins don’t count as weighing unless you show that your link is stronger than theirs. - It is my belief that weighing fundamentally comes down to two things: how large your impact is and how probable your impact is. I take both things into account so if you weigh on probability and your opponent weighs on magnitude (and you both don't interact with each other's weighing), I will intervene to determine which argument is more important. - I won't vote off of dropped defense if it is not extended - Paragraph theory is good with me and is probably more accessible. However, this does not mean you do not read blippy theory for the sake of throwing your opponent off. Still give me a clear interpretation, violation, standard, and voter. [Note: I am not very familiar with progressive argumentation and would prefer it not to be run unless there is real abuse in the round. If you do choose to run it, I will evaluate it as logically as I can, but I cannot guarantee that I will evaluate it the same way your typical ""tech"" judge would.] - No CPs or Ks. - Weighing in first FF is okay, but it's better if done earlier (not in second FF though) - No new arguments in FF. This applies to extensions. If there isn't a clean link and impact extension in summary, I won't evaluate it even if it is in FF. - Second rebuttal must respond to turns (I count as dropped otherwise) - No offensive OVs in second rebuttal. I just won't vote on it - Tech>truth most times, but the crazier an argument gets, the lower my threshold for responses to that argument is. - Extensions of offense need to be in summary and final focus. You need to always link the argument back to the resolution and draw it out to an impact. If this isn't done, you will 90% of the time lose the round because you have no offense. I have a relatively high threshold for what counts as a clear extension because it is essential for transparent collapsing. - Please don't use the abusive strategy of kicking out of all of your opponent's responses to your case just to read a new link to your impact. If your opponents do this, call them out for it in speech. - If no offense is left by the end of the round, I presume the team that lost the coin flip. If the round is side-locked, I presume the first speaking team because I believe it is at a structural disadvantage in the round. Etiquette (how to get high speaks) - Don't spread. I flow on my computer, so I can follow speed, but the faster you go, the more likely I am to miss something on the flow. Additionally, I find that 99% of the time, you do not need to go fast to cover the flow; you simply need to improve your word economy. Finally, I believe that spreading is bad for the activity. It excludes so many people from being able to comprehend and learn from the round, making the activity overall less accessible. If you can speak at a moderate speed while still covering the flow efficiently, you will be rewarded with high speaks. - Signpost. If I am not writing on my flow, there is a good chance that I just don't know where you are on the flow. - Do not be rude to your opponent. This includes making faces while your opponent is speaking, speaking over your opponent in cross, and making jokes at the expense of your opponents. Excessive rudeness that makes the activity inaccessible to marginalized groups will result in me dropping the debater. My threshold for this is not that high because I despise this behavior in an activity that is meant to be fun and educational for all participants. - I will give you high speaks if you speak pretty and are smart on the flow. - Do not read 30 speaks theory. Evidence - Please don't call for every piece of evidence your opponents read. I understand if you think the card is super important to win the round, but in 99% of rounds, I do not even consider evidence in my decision. I instead look at logic and argument quality, so call for evidence sparingly. - I think evidence is overrated and warrants matter much more. This means you need to attach warrants to evidence and also should discourage the misconstruction of evidence. Your insane card won't win you the round. Read your evidence ethically and then explain its role in the round. (Guide) Warranted analytics + evidence > warranted analytics > unwarranted evidence > assertions. - At the minimum, last name and year - I am fairly lenient with paraphrased cards because I understand that when all evidence is taken word for word from the source, word economy suffers and many debaters resort to speaking faster. However, this is on the condition that evidence is NOT misconstrued. If you are to paraphrase evidence, make sure to fully understand the source and maintain the source's intention; do NOT paraphrase evidence for the sake of getting it to say what you want it to say. - I will only call for evidence if you tell me during a speech or if I find it relevant to my decision at the end of the round. - To discourage cheating, if you blatantly misrepresent evidence, I will drop the entire arg/contention. Misc. - I expect all exchanges of evidence to take no longer than 2 minutes. If you delay the debate significantly while looking for a specific card, I may dock your speaker points for being disorganized and wasting time. If someone requests to see your evidence, you should hand it to them as soon as possible; don't say ""I need my computer to prep."" - Please don't try to shake my hand after the round. - Wear whatever you want, I don't really care. - Feel free to ask questions about the decision after the round. I won't feel offended if you disagree with my decision, and I am happy to discuss it after the round. If you have any other questions, ask before the round. ",3
"I debated PF for 4 years at BC Academy and am in my 3rd year coaching. - I will buy any argument that is clearly articulated with logical links, warrants, and impacts; good warranting is especially critical and must be extended throughout the round if you want me to vote for it - I want to be as minimally interventionist as possible; please do not make me connect the dots for you on the flow - I follow the Point Scale on my ballot for speaks - I am fine with speed as long as you don't spread; however, if you must, please send a speech doc; be aware you won't receive speaks higher than a 27.3 as I believe spreading excludes many debaters from apprehending and effectively engaging with the arguments presented - Second rebuttal should frontline offense; at minimum you should respond to turns, otherwise, I consider it conceded - I prefer arguments with a clean narrative - Cards are great but if they aren’t warranted clearly or weakly linked, I won't buy it; ""there's no warranting"" is a sufficient response if true - I'm fine with paraphrased cards as long as it's not misconstrued; I will drop the card (or the entire argument if it's really bad) for any misrepresentation - I will only call for cards if… 1. I was told to call for a card 2. There was a dispute over a card and it wasn't resolved by the end of the round 3. I need it to verify a point on my flow - Summary and final focus should mirror each other; I will not buy a point that was brought up in final focus but not discussed in summary; I will not extend arguments for you - Weigh impacts and links through direct comparison; tell me why your impacts are more significant and why your links are clearer and stronger than your opponent's; the clearer, the better and more likely I'm going to vote for you - Please do not read theory, Kritik, or other progressive arguments; I have a shallow understanding and won't make a good decision were I to evaluate them - I will not call you out for going over time but I will stop flowing and lower your speaks; the longer you go over, the more your speaks will drop - Please read content warnings for sensitive topics and ask if the opposing team is okay with you reading the argument-- you must have an alternate case if they aren't; I have the right to drop you if I think you're making the round an unsafe space Should you have any questions about my paradigm, feel free to ask me before the round or email me at laurynlee.may10@gmail.com ",2
"PF I will not flow any theory/topicality, plans/CP's. I'm okay with speed, but as this is PF I don't want you to spread. I love impact debate and good clash, as with any debate, and signposting is important. This event has had problems with academic honesty and if you are caught in round lying about a piece of evidence then I cannot vote for that specific argument and will dock your speaks. Please include the links in your cards. I will be checking cards, especially ones that define your impact, if you have cut a card to change the intent of the author I will no longer flow that card and you will lose that impact. When extending ensure to extend the whole impact of your card, these impacts should be weighted using an impact calculus. LD  I love good clash and evidence-based argumentation. Be nice, this is a debate, not a fight. The more in-depth explanation the better I want to have a well-rounded understanding of what I'm voting for. Keep in mind I don't want to have to do the work for you, it's your job as the debater to tell me how to vote.No more than 3 off, I think LD should be about in-depth argumentation and not attempting a time suck on your opponents. Speaks I'm okay with spreading so long as you're clear, I will only say ""clear"" once and if I am still unable to understand you then I will cease flowing. Plans/Cp's/DA's Detail is important and explanation of links and real-world implementation. Please don't run a CP if the Aff isn't running a Plan, also I need framing to vote on a DA with an Aff with no Plan. Theory I have the smallest threshold for Theory, I really need in-round abuse and impact for me to vote for Theory, running three theory shells to overwhelm your opponent then dropping them in the last speech will be counted against you if your opponent points this out. I won't vote on disclosure Theory. Kritiks  The basic Kritiks, i.e. Biopower, Neolib, etc, I understand, but I still want an explanation and an alt. if you're going to run something abstract, please make sure that you paint a clear picture of the world the Kritik encompasses and how the alt is achievable. ",2
"Hello, my name is Andrew and I debated 4 years of PF in HS. My greatest career accomplishment is finalling the competitive Big Questions Debate Event at the prestigious March Merryness Invitiational Tournament. I'll evaluate based on the flow and am tech > truth. 1st summary only needs defense if 2nd rebuttal frontlined. I'm good with speed, but don't spread. Weigh and I'll be very happy :) Make sure to make comparatives when you weigh! I like if you run a cool argument, do something cool in summary, go for turns well, and/or metaweigh. If you have questions please ask me before round! ",2
"Hi, I am Frank, and I am a parent judge.  Here are some key points for my judgement: 1. My votes count on how thoroughly you persuade me. 2. Keep the flow organized. 3. Balance your speed and clarity, do not spread. 4. Act professionally. 5. I have zero tolerance for hate speech. Other than that, have fun. ",1
"Auto 30s if both teams agree to skip all crossfires and prep time. Auto 29s if both teams agree to skip all crossfires, or if you offer + the other team refuses. Otherwise I cap speaks at 28. If you want lots of time to write your speech, do policy.  I have a short attention span. Don't make the round unnecessarily long, or I will be in a bad mood. --- I debated for hunter college hs ('20) in nyc and broke at toc. I coached bronx science ('20-'21) and do some apda at harvard ('24). 1. All 1st rebuttal to 1ff extensions are fine, including offense. I don't care if you frontline in 2nd rebuttal, or extend turns or defense in 1st summary. No new 2ff weighing. I presume 1st speaking team. I have a high bar for not presuming - if it takes longer than 120 seconds for me to decide the round, I will presume. This includes when both teams are winning offense but neither weighs, even if the weighing is obvious. 2. ""If I have the choice between voting for an impact that’s weighed as the biggest in the round but is muddled versus a less important but clean impact, I will resolve the muddled impact every time."" Speed is fine, I will clear you if necessary, send me the doc if going 300+. Don't interrupt women in cx. --- Theory: Paraphasing is good for debate. In general, I default reasonability. Running theory asks me to intervene, by not evaluating substance, because the in-round abuse supposedly outweighs. You have to make me actually believe that the abuse was significant and outweighs substance, or else I won't intervene. If in doubt, ask before the round. All online tournaments: If you choose to read any cards, disclosure theory is a TKO. You must send all your case evidence in card form with reasonable context and proper cites to the email chain before you read case. I care very little about what your evidence says, and I won't read ev unless you tell me to. In fact, I would love a round in which neither team reads any evidence. However, teams seem to be obsessive about evidence-calling, and in this online format, in-round evidence exchange is incredibly clunky and results in a colossal waste of time. Just get it over with before the round. I don't particularly care if you post it on the wiki, and it's fine if you paraphrase your cards in the speech, but the other team needs to be able to read your evidence quickly and readily without wasting everyone else's time while stealing prep time and pretending the email hasn't arrived. ",2
"Hi There, I am a parent lay judge - I would appreciate it if you will introduce your name and school before the start, and not speak too fast. Thank you and good luck! Shawn ",1
"Hi! My name is Tyler and I have been debating for multiple years in the University Circuit. I am primarily a British parliamentary debater being a Grand Finalist and/or breaking debater at the North American University Debate Championships, Uhuru World University Debate Championships, Yale Intervarsity Debate Championships etc. However, I have a good amount of experience in Australs, Canadian Parliamentary etc. My judging philosophy is simple.  1. Speaker style is irrelevant when weighing the merits of arguments, focus on the substantive aspects of your case over the stylistic components 2. Being comparative is extremely important. Proving harms or benefits existing in isolation to either side is deeply insufficient to win a round. Debaters must prove why a harm or benefit is either exclusive or exists to a meaningfully larger degree on either side to win a clash. 3. Prioritization of important clashes is more important than line-by-line refutation. Identify what arguments to prioritize and which ones not to. This is not to say that you should completely ignore a seemingly unimportant argument, but an inability to engage and prioritize the most important arguments in a round will harm your ability to win.  4. Be charitable, steelman the other side's arguments and engage with their best conception ",2
"Debate is when you give argument to your opponent with reason that could you prove through study case. In judging public debates, I prefer arguments when you can explain burden of proof of the assertion that you claimed. I expect debaters to not give one liner argument when they don't explain why the argument is important and what is the relation between the impact in the future. Not only that, I more likely to judge if there's comparison between your team and your opponent. And how you compare your argument to them and tell me why you are better than the opponent. ",2
"Hello! I did Info and Extemp in high school and am currently a college student. I don't know very much about the topic so please inform me. My debater friends would say that I'm a very ""lay"" judge, so please give me some proper background and don't spread fast because I won't understand you. As a former Speech nerd, I appreciate good speaking, but I will obviously rank off of which side gave the more convincing and impactful argument. ",2
"I always try to make my decision based on debaters performance without my personal opinions involved. The debaters performance will be graded per clearly organized contentions, persuasive arguments, good cross exam performance, and convincing presentation. Please speak not too fast, watch your time, and show respects to your opponents. Hope everyone enjoys the events. ",1
"catherinxliu@gmail.com Sioux Falls Washington ‘21, Harvard ‘25 Experience: I did LD for 4 years. I now do parli. I mostly did traditional debate but am generally familiar with/did some circuit. I was a 2021 NSDA finalist. Prefs: 1 - traditional, k/performance2 - larp4 - theoryno - tricks Miscellaneous thoughts: - I won't vote on arguments I don't understand- please collapse by the 2n/2a- disclosure is probably good- good analytics > bad cards ",2
" Hi! I've debated and judged at 50+ uni and high school tournaments before on BP, AP, WSDC and PF formats. 1. I don't automatically believe assertions as valid/strong arguments, unless they're proven or supported. Don't worry! It doesn't mean extra burdens on supporting every sentence you say. But I suggest you to offer your understanding for the materials you use & minimum explanations & mechanism & analysis & reasoning. 2. I believe warrants should effectively support your stance, not just be listed. ",2
"Hi, I am a parent judge, so please speak slowly and clearly! I have judged many pf rounds before, but I am still definitely not a flow judge. In round, make sure that you're using logic to explain your arguments thoroughly as well. If you see me writing, don't take it seriously, I am just taking notes. Don't be rude and have fun! --- Hi this is his daughter that does PF and from what he's told me abt judging here are some tips if he's judging you: -he doesnt flow everything u say :((( so make sure you're emphasizing the most important things he should be flowing -he won't feel comfortable voting off your argument if he doesn't understand the logic (if he doesn't understand either side he randomly chooses lol so TALK SLOW and MAKE SENSE) -he likes it when you have arguments that directly clash (pro and con both run the same arg i.e. innovation) but he also likes clean extensions of args that go conceded -he adores clean signposting  -also he works in like biology/physics/medical related stuff and knows a lot abt pharma so be accurate lol or he'll know ",1
"I am a parent judge who values common sense, clear logic, and coherence. 1. Arguments shall be clear and well-articulated, even if they do not cover every aspect. 2. If your evidence contradicts your opponent's, convince me with logic. More recent evidence may not be better. 3. As for mechanics, I am pretty flexible and should be comfortable with speed as long as you are clear. (However - I'm definitely not used to a policy level of speed so send me a speech doc if you do so). I'm open to theory, as long as it is not frivolous. I default to reasonability. 4. Have evidence ready, shouldn't take longer than 2 mins to find it or send it out. Also, I will take it from your prep if you're prepping when your opponent is getting a card. 5. Anything you want me to vote on must be extended in every speech, and collapse on voters in at least FF, if not summary.  6. Be respectful and let your opponents answer the questions you asked during the crossfire. ",1
"As a parent judge, I value clarity, commitment, and collaboration. Please don't speak too fast as a steady pace with clear pronunciation and articulation can always make your presentation better understood and more effective. The logic should also be clear and sound. Each member of the team also needs to show full engagement with and devotion to the debate and to their respective position, and they need to support each other to make the team strong. Please remain respectful throughout the debate. ",1
"I am a parent judge with limited judging experience. I prefer clear, medium paced, logical and concise speech. I will judge based on the contents and debater’s performance without my own options. I am mainly going to be looking for your support of your arguments and weighing. ",1
I debated PF in high school Speaking fast is okay just make sure you are speaking clearly.  I don't flow CF Make sure you make your extensions during the summary speech Weighing your impacts in the final focus speech is important to me  Do not bring in new arguments or responses in the final focus  ,2
Hello. This is Xiaojin Liu and I'm a parent judge at Newton South High School. I prefer logical and concise presentation. I will judge on both the content and how the content to be delivered.  I vote for the team that show direct evidence to support your arguments. ,1
I am new to debate and to judging this year. Please present your arguments clearly as I try to capture the flow. I have enjoyed learning from the debaters about the topic of the round. ,1
Hi! My name is Isabella but I go by Izzy. I am a BP debater with over 6 years of experience. I have been judging for five years and have broken to numerous outrounds as a judge. Please do not speak too quickly and make sure you are clear. I favour substance over style because I believe rhetoric is less important than the content of your speech. I will give you a 30 if you make a good Taylor Swift reference :) ,2
"I am a parent judge with four years of experience in judging Public Forum. Never competed Public Forum or any other Forensic activities, but as a parent judge I always read some review articles about the topics, therefore I do have some background knowledge in things that you are talking about and enjoy watching the debate. I prefer clear and not too fast speech, so I can catch up the words and meaning of your talk. I use following criteria when I judge a round: Were the arguments intelligent? Your response to the arguments The discrediting to the opposition’s response The debaters back up their assertions with logical thinking and evidence when needed Fair in interpretation of the resolution and one another’s statements? Who is advancing the most significant arguments in the round? I don’t weight much on the speed of speech, believe less words with sound arguments are much better than too much words which have to be delivered with fast speech. Don’t have preference on the format of Summary Speeches, and evaluate argument over style. If a team plans to win the debate on an argument, their arguments have to be extended in the rebuttal or summary speeches. If a team is second speaking, I prefer that the team cover the opponents’ case as well as answers to its opponents’ rebuttal in the rebuttal speech. Don’t vote for arguments that are first raised in the grand crossfire or final focus. ",1
"Hello! My fondest memories of high school are from high school debate (PF and Congress) tournaments! I also have memories of terrible judges - I will do my best to not fall into the latter category for you. - The faster you talk does not = the better your argument. - It doesn't absolutely have to have been in summary for it to be in final focus, but it really should be. - Don't card dump in rebuttal. Don't read a new contention disguised as a response. If your opponents do this call them out for it and I'll drop the argument. - Don't ask for more evidence than you need and use this as more prep time.  - You do not need to give an off time road map, in fact, perhaps do not.  - Winning in cross does not = the more speaking time you have. Ask and answer quickly, concisely and politely.  ",2
"I'm a parent judge with the observation of three years of CNDF debate training, 40 hours of BP training, and 54 hours of PF training, and 26 hours of World School training classes. This will be my fifth time to judge PF debate. I'll be appreciated your clarity, get to the points and logical analysis. Please don't spread, so I can follow your points. In most cases, I don't have any background knowledge of your motion, so I judge based on what you are saying in the rounds, not my own pre-set opinions. I won't give you detailed comments like your coach, but I will go with the flow and decide my votes by which side are more persuasive. ",1
"email: teresa@luo.com first year out. i debated for westlake for 3 years, and i did pf and some extemp. i would consider myself to beflay leaning tech. 1. WARRANT. i need more than just jargon. - this goes for everything in the round (responses, weighing, etc). - i am tech over truth (excluding offensive arguments), but you need to warrant everything out. 2. collapse and extend too. - defense is not sticky; pls extend. - i will only evaluate what has been extended in summary AND in ff. don't bring up new stuff in ff. - this means you have to extend the full link chain or warranting; just mentioning the argument is not enough. 3. an argument is dropped if there is no response to it in the next speech. 4. be respectful to everybody in the round. feel free to ask me questions before or after round! :) ",3
I'm a former high school debater from Thales Academy Apex and thoroughly enjoy the skill and sportsmanship that is present during a debate. I believe the ability to entertain and determine its value without bias is a sign of great skill. I want solid arguments backed up by air tight evidence. Debaters should be courteous when defending their argument but show determination. Dropping arguments and spreading are things that I do not appreciate. Above all else face your opponent's argument clearly and directly. Do not play around it and endlessly clash over definitions as this does a disservice to the art of debate.  ,2
"I am a parent volunteer judge. This is the first time that I serve as a judge for the Public Form debates, but I have always been an avid reader of current news and column articles on the various political and social issues that are the topics of PF debates. I am an evidence-based judge and I can handle moderate speed, but not fast speed. I am looking forward to working with other judges and participants in the upcoming events. ",1
"Hi! I am a first year parent judge for PF. I have no prior debating experience, so I hope that you have done plenty of research on your topic and that you will use credible evidence and sound logic to support your arguments! My expectations for debaters: --- Speak clearly and calmly in a medium pace when delivering your arguments. --- Be enthusiastic and confident, but also act natural. --- Follow the speech and prep time limits strictly and exchange evidence in a timely way. --- State a clear set of contentions and subpoints in your case. --- Signpost in your speeches. --- Try not to interrupt your opponents or talk over each other during crossfire. --- Show good sportsmanship and make debate fun and enjoyable! Thank you!  ",1
"Hello! My name is Tian. I am a lay judge and this tournament is my fourth time judging. Please: - do not spread, if you spread I will likely miss important information - try not use debate jargon - signpost when possible - give an offtime roadmap before speeches - implicate your responses If you have any questions or would like to add me to an email chain, please contact me at ma_tian@yahoo.com ",1
I am relatively new to judging. Please try to avoid jargon and do not speak too quickly if possible. Appreciated! ,1
"Taken from Tommy Barone: I am a senior at Regis High School who has competed with moderate success (a few bids, a lot of elims) in PF (and infrequently in LD) on the National Circuit. TLDR: I want a civil, unmuddled, honest, inoffensive, and accessible round with comprehensive weighing, persuasive warranting, and sufficient empirics to bear out the argumentation. Make your best effort to follow through on that wish and you're in good shape (but don't feel compelled to abandon your style in so doing; I will adapt as best I can)! Basic judging philosophy: I view flow norms of debate as useful and ascribe to them only insofar as they are most paradigmatically conducive to rigorous analysis and thorough argumentative engagement. Debate in whatever fashion you believe best meets those two criteria, but I believe that a warrant-focused debate with lots of good comparative analysis and an overarching narrative does so most effectively (and does not require superfluous speed or overuse of jargon). Long, non-exhaustive, and entirely unstructured set of preferences: Warrant warrant warrant. I couldn't care less about your evidence if it's not warranted. Tell me to call evidence and I will; misconstrue it and you're getting horrible speaks. Spewing debate jargon isn't a rhetorical technique. If it's misused or excessive it's reductive to the intellectual level of the round and it will guarantee you bad speaks. Weigh early, often, and in a way that interacts with your opponent's weighing. Saying buzz words like ""scope"" or ""magnitude"" isn't really compelling if I don't know how your arguments actually interact. Collapse on your best offense and build a coherent narrative that adequately frontlines major responses. Beyond being poor strategy that massively dilutes your weighing (I'm not going to think multiple pieces of offense important!), I think it's borderline abusive and torpedoes the overall quality of the round because it creates a super reductive burden on the other side to extend and implicate adequate responses for 2+ arguments. It's fine to read a lot of responses in rebuttal, but if they're not sufficiently explained/implicated or warrantless, I'm going to have trouble evaluating them even if they make it to the end of the round. In final focus and summary, try to collapse on just a few responses and implicate them well. I'm truly fine flowing fairly fast PF speech, but I will be very annoyed if you don't enunciate and signpost well in so doing. If you're going to run a turn, please implicate the overall effect thereof. So many people read a ""turn"" that actually just recognizes one negative effect of something and concludes that it must therefore be net negative. Effects are almost always multidirectional, so, unless you're implicating why something is net your way, I'm probably going to presume that the net effect is whatever the original offense was, or I'll at least avoid voting on the issue. Regardless, unless the turn is well weighed and impacted, I'm really not inclined to vote for it. In second rebuttal, ideally frontline everything you're going to go for in the back-half speeches. I think it's problematic to only respond to turns in second rebuttal because that leaves first final focus responding anew, which I think creates an unfavorable time skew. I understand this puts pressure on second rebuttal, but you can deal with that by collapsing early (which I would actually appreciate regardless--it makes the weighing nicer). That being said, I won't regard defense as conceded if not frontlined in second rebuttal, I'll probably just dock speaks (note: turns DO need to be frontlined in second rebuttal). Both summaries need to have defense, offense, and weighing (definitely with a focus on the latter two). If you read off of your computer for the entire round from prewritten text, you're getting very low speaks because that isn't what debate is. If you say something was conceded, it better be conceded. Probably my biggest pet peeve in debate is when people say a very clearly responded-to argument was dropped, and I will definitely drop speaks substantially for doing so. You will lose the round with awful speaks if you run arguments that are inaccessible or argue in an inaccessible way (theory, Ks, spreading, anything from LD/policy). The only theory I'd even consider evaluating would be in response to a genuinely very abusive in-round strategy (examples include: spreading, second rebuttal disads, absurd response dumping, turn dumping). I will be so mad if your style of argumentation is about muddling up the round with high volumes of non-responsive information. I am the weakest possible version of tech over truth. The only time I'll vote on a flagrantly untrue argument is if it's totally conceded. While I think good critical-thinkers should always be able to deal with outrageous arguments, running them wastes a team's time, throws them off, and is rarely intellectually honest. If you run disads, I literally might just not evaluate them because I think they're so abusive (in second rebuttal, I absolutely won't). If you run a disad and call it a turn, I'll be furious (an M4A example: neg differential pricing is not a turn on aff access). In general, I tend to think that a super turn-heavy strategy by the first-speaking team fringes on abusive and is really reductive to the intellectual quality of the round, so, while I won't intervene because of it, I will a) have a lower standard for how much frontlining needs to be done in second rebuttal and b) have a higher standard for the quality of the extension/weighing of the turn. ",3
"I am a volunteer parent judge. I will try to flow but if you speak faster than the normal pace, I will put my pen down. Please speak at a normal pace. Do not interrupt your opponents. Try to convince me at the normal speaking pace. Have fun! ",1
"Hi all reading this. First things first, good work checking paradigms your coach taught you well.  Next a bit about me. I have been coaching middle school debate for 6 years, competed in PF (2 years), LD (2 years), and college policy (1 year). Also, I serve on my city's Housing and Human Services Commission overseeing matters related to section 8, housing insecurity, and now Emergency Rental Assistance.  Finally, on to the part you are probably looking for. The flow determines the round. Please be sure to keep bringing up the most important contentions and don't drop them. I don't want to make a decision in your round because the flow should do it for me. Also be sure to clash, try to address every point your opponent brings up. You don't always need citations. If you can use raw logic to explain why a contention is incorrect then it is incorrect, just address it.   Speaker points are based on both your argument and performance. PF should be accessible if you spread you can still win the round but will have lower speaker points.  ",2
"Hello My name is Anthony Maglaqui. A little background about myself, I did public forum debate for all 4 years of my high school debate career. My paradigms are as follows: I am capable of flowing, so consider me a flow judge. I do not flow cross-x, I believe cross-x is for both teams to extrapolate/gather information and present to me in your rebuttals, summaries, and final focuses. If you start spreading, I will not continue to flow. I expect you to articulate your arguments in a timely manner. Please signpost in your arguments. ",2
"I'm a parent judge who brings a multi-cultural and international sensibility to my role, a perspective also informed by more than 25 years of practice in the field of law. With clients that have included hi-tech companies, venture capital funds, and a governmental agency, I have always sought a fact-based and science-driven outlook that values substance over style and rationality over rhetoric. May the best debaters prevail! ",1
"Hi everyone who is reading my paradigm! My name is Avaneesh and I am from Massachusetts and I go to Westford Academy. I have debated on the national circuit for about 2 years. I love debating (did it in middle school and doing it in high school!) Any racism/homophobia/sexism will not be tolerated whatsoever. I will stop the round if this does happen. Please feel free to discuss the way the round went and any questions about how I evaluated any piece of defense or offense in-round. tech>truth I evaluate anything that is said and any response to it. I will not look into sources too much unless the round becomes very messy and washes all around. Please use accurate sources. Do your own prep time and let me know how much time you took; I am not your parents. Do not be that kid who prep steals :). Case: off-time road maps are fine. Please keep it to under 300 words per minute. Rebuttal: Disads are fine here. Please do good signposting here or else I will not know where to write your response or what it is until I go back to review. It makes my life and your life easier. Please warrant well and an analytical response that makes sense > A carded response that is not warranted whatsoever. Please frontline in 2nd rebuttal. Summary: Please bring weighing here. An introduction of in rebuttal is fine but the bulk of it should be here. Warranting weighing and framework with cards makes it even stronger. Sticky defense is not okay, please extend everything through this speech otherwise it will not be evaluated. Final Focus: Standard final focus do not abuse 2nd final focus. I evaluate all shells even friv if you choose to run that and if you do actually win on it I will vote for you. Please extend everything all throughout speeches including voters and the shell. My favorite question in crossfire is: Why? check my dawg rishi's paradigm (https://www.tabroom.com/index/paradigm.mhtml?judge_person_id=24940) if there are anymore questions and if it is not there then just email me @ avaneeshmdebate@gmail.com ",3
